date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:29:33	399/399	---M-Z	410	error ('Gone')	text/html	date:Thu,%2020%20May%202021%2012:59:30%20GMT	https://www.proptiger.com/asansol-real-estate	C:/Users/hmmm/Videos/prpt/www.proptiger.com/asansol-real-estate	(from https://www.proptiger.com/)
18:29:34	403/403	---M-Z	410	error ('Gone')	text/html	date:Thu,%2020%20May%202021%2012:59:30%20GMT	https://www.proptiger.com/bhubaneswar-real-estate	C:/Users/hmmm/Videos/prpt/www.proptiger.com/bhubaneswar-real-estate	(from https://www.proptiger.com/)
18:29:34	402/402	---M-Z	410	error ('Gone')	text/html	date:Thu,%2020%20May%202021%2012:59:31%20GMT	https://www.proptiger.com/coimbatore-real-estate	C:/Users/hmmm/Videos/prpt/www.proptiger.com/coimbatore-real-estate	(from https://www.proptiger.com/)
18:29:34	397/397	---M-Z	410	error ('Gone')	text/html	date:Thu,%2020%20May%202021%2012:59:31%20GMT	https://www.proptiger.com/dubai-real-estate	C:/Users/hmmm/Videos/prpt/www.proptiger.com/dubai-real-estate	(from https://www.proptiger.com/)
18:29:34	400/400	---M-Z	410	error ('Gone')	text/html	date:Thu,%2020%20May%202021%2012:59:31%20GMT	https://www.proptiger.com/durgapur-real-estate	C:/Users/hmmm/Videos/prpt/www.proptiger.com/durgapur-real-estate	(from https://www.proptiger.com/)
18:29:35	401/401	---M-Z	410	error ('Gone')	text/html	date:Thu,%2020%20May%202021%2012:59:32%20GMT	https://www.proptiger.com/faridabad-real-estate	C:/Users/hmmm/Videos/prpt/www.proptiger.com/faridabad-real-estate	(from https://www.proptiger.com/)
18:29:35	395/395	---M-Z	410	error ('Gone')	text/html	date:Thu,%2020%20May%202021%2012:59:32%20GMT	https://www.proptiger.com/goa-real-estate	C:/Users/hmmm/Videos/prpt/www.proptiger.com/goa-real-estate	(from https://www.proptiger.com/)
18:29:35	398/398	---M-Z	410	error ('Gone')	text/html	date:Thu,%2020%20May%202021%2012:59:32%20GMT	https://www.proptiger.com/indore-real-estate	C:/Users/hmmm/Videos/prpt/www.proptiger.com/indore-real-estate	(from https://www.proptiger.com/)
18:29:36	398/398	---M-Z	410	error ('Gone')	text/html	date:Thu,%2020%20May%202021%2012:59:33%20GMT	https://www.proptiger.com/jaipur-real-estate	C:/Users/hmmm/Videos/prpt/www.proptiger.com/jaipur-real-estate	(from https://www.proptiger.com/)
18:29:36	398/398	---M-Z	410	error ('Gone')	text/html	date:Thu,%2020%20May%202021%2012:59:33%20GMT	https://www.proptiger.com/jhansi-real-estate	C:/Users/hmmm/Videos/prpt/www.proptiger.com/jhansi-real-estate	(from https://www.proptiger.com/)
